Training Acc,Test Acc
0.6686893,0.68745667
0.7123786,0.77061677
0.76872396,0.7408177
0.7756588,0.80457383
0.79993063,0.82259184
0.815534,0.8156618
0.82368237,0.7858628
0.84084606,0.8163548
